Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
1763827704309,18.19,277558067,16578573762,0,0,166,82
1763827706388,19.65,277348352,16578573762,0,0,543,265
1763827708466,19.25,277558067,16578573762,0,0,963,468
1763827711476,20.24,277348352,16578573762,0,0,1656750,765
1763827713557,21.51,277662924,16578573762,0,0,2076180,963
1763827715647,17.73,277453209,16578573762,0,0,2527068,1226833
1763827717746,18.67,279760076,16578573762,0,0,2967470,1436549
1763827719846,17.5,281647513,16578573762,0,0,3418357,1656750
1763827722856,20.73,284059238,16578573762,0,0,4057989,1960837
1763827724956,18.37,283849523,16578573762,0,0,4519362,2191523
1763827727062,24.84,286261248,16578573762,0,0,4928307,2390753
1763827729201,20.05,288148684,16578573762,0,0,5274337,2558525
1763827732221,18.36,288253542,16578573762,0,0,5903482,2862612
1763827734324,19.83,292133273,16578573762,0,0,6396313,3093299
1763827736441,21.97,292342988,16578573762,0,0,6847201,3313500
1763827738560,19.19,292447846,16578573762,0,0,7287603,3533701
1763827741576,21.77,298634444,16578573762,0,0,7769948,15623782
1763827743652,18.63,300731596,16578573762,0,0,8472494,20132659
1763827745758,18.21,300836454,16578573762,0,0,9122611,20342374
1763827747834,18.36,300941312,16578573762,0,0,9783214,20552089
1763827749909,18.61,303143321,16578573762,0,0,10454302,20761804
1763827752919,20.96,303457894,16578573762,0,0,11010048,24012390
1763827754992,20.07,305555046,16578573762,0,0,11324620,24326963
